IDDESCUENTO,IDPLAN,IDSERVICIO,IDPRODUCTO,VALOR,LIMITEVECES
201,201,20,8,82,6
202,202,17,6,26,2
203,203,5,4,0,0
204,204,7,8,8,1
205,205,5,23,13,5
206,206,7,3,72,8
207,207,4,6,28,7
208,208,20,2,12,0
209,209,18,3,85,6
210,210,16,2,57,2
211,211,5,5,54,0
212,212,16,5,35,4
213,213,7,23,47,9
214,214,6,7,2,8
215,215,18,2,93,4
216,216,6,5,59,0
217,217,16,3,6,2
218,218,4,7,83,2
219,219,16,3,53,1
220,220,6,2,31,4
221,221,7,2,45,9
222,222,20,5,18,3
223,223,17,7,89,4
224,224,20,8,83,2
225,225,4,6,92,7
226,226,4,6,83,8
227,227,18,8,77,2
228,228,5,2,16,3
229,229,20,4,26,5
230,230,7,5,54,6
231,231,5,2,100,4
232,232,7,23,36,4
233,233,20,3,93,8
234,234,18,3,76,0
235,235,17,23,65,8
236,236,16,4,50,4
237,237,7,7,47,2
238,238,4,3,55,8
239,239,17,4,64,6
240,240,18,7,1,1
241,241,7,8,62,0
242,242,16,2,51,7
243,243,6,5,40,8
244,244,18,3,9,3
245,245,5,3,50,1
246,246,5,6,89,1
247,247,5,2,40,8
248,248,7,5,67,1
249,249,18,8,72,7
250,250,4,5,60,3
251,251,20,7,15,5
252,252,6,23,48,9
253,253,20,7,33,0
254,254,16,4,64,8
255,255,5,7,53,4
256,256,20,5,30,3
257,257,4,3,98,8
258,258,18,2,71,5
259,259,16,23,73,2
260,260,4,5,3,8
261,261,20,23,48,7
262,262,17,3,21,7
263,263,5,23,87,8
264,264,16,5,21,5
265,265,6,4,44,3
266,266,5,7,20,8
267,267,16,6,26,5
268,268,6,3,3,2
269,269,7,23,22,6
270,270,4,7,66,0
271,271,6,5,9,0
272,272,4,5,62,8
273,273,17,3,20,9
274,274,16,8,59,4
275,275,18,4,26,5
276,276,5,23,12,9
277,277,5,3,86,3
278,278,17,5,80,4
279,279,17,3,34,2
280,280,17,8,73,7
281,281,17,4,24,7
282,282,5,2,100,7
283,283,4,2,20,3
284,284,5,4,56,9
285,285,7,23,31,6
286,286,18,3,9,9
287,287,20,7,81,0
288,288,4,3,22,4
289,289,18,5,24,5
290,290,17,7,26,3
291,291,18,7,29,5
292,292,6,2,71,5
293,293,4,2,33,2
294,294,20,2,6,8
295,295,5,8,8,9
296,296,5,2,24,2
297,297,4,8,25,2
298,298,6,2,80,0
299,299,4,6,96,5
300,300,18,7,82,6
