IDESTADIA,FECHALLEGADA,FECHASALIDA,NUMEROPERSONAS,IDPLAN,IDHABITACION,CHECKIN,PAGADO,IDCLIENTE,IDCONVENCION
51044,17/08/2022,29/08/2022,2,206,298,1,1,1000005000,
51045,27/10/2022,04/11/2022,3,215,45,0,0,1000005001,
51046,10/05/2022,13/05/2022,1,242,202,1,1,1000005002,
51047,19/10/2022,20/10/2022,4,289,9,0,0,1000005003,
51048,15/09/2022,18/09/2022,1,259,214,1,1,1000005004,
51049,10/02/2022,15/02/2022,3,252,14,1,1,1000005005,
51050,28/10/2022,03/11/2022,4,268,9,0,0,1000005006,
51051,04/07/2022,09/07/2022,1,283,32,1,1,1000005007,
51052,19/08/2022,20/08/2022,4,234,40,0,0,1000005008,
51053,29/06/2022,30/06/2022,1,280,89,1,1,1000005009,
51054,06/08/2022,11/08/2022,4,245,14,0,0,1000005010,
51055,28/08/2022,02/09/2022,2,264,258,0,0,1000005011,
51056,09/07/2022,17/07/2022,1,290,33,1,1,1000005012,
51057,17/06/2022,30/06/2022,1,282,26,1,1,1000005013,
51058,09/12/2022,14/12/2022,3,259,92,1,1,1000005014,
51059,05/12/2022,08/12/2022,2,221,285,1,1,1000005015,
51060,28/11/2022,13/12/2022,3,273,254,1,1,1000005016,
51061,25/11/2022,29/11/2022,4,232,209,0,0,1000005017,
51062,18/12/2022,30/12/2022,1,265,254,1,1,1000005018,
51063,21/06/2022,24/06/2022,1,295,213,0,0,1000005019,
51064,22/11/2022,24/11/2022,4,224,200,1,1,1000005020,
51065,08/01/2022,19/01/2022,1,215,257,1,1,1000005021,
51066,06/11/2022,19/11/2022,4,250,105,0,0,1000005022,
51067,24/07/2022,05/08/2022,2,215,242,0,0,1000005023,
51068,31/03/2022,09/04/2022,4,259,139,0,0,1000005024,
51069,24/07/2022,05/08/2022,2,211,64,1,1,1000005025,
51070,16/10/2022,20/10/2022,1,236,174,0,0,1000005026,
51071,25/12/2022,26/12/2022,4,272,181,1,1,1000005027,
51072,21/05/2022,30/05/2022,1,230,128,1,1,1000005028,
51073,01/02/2022,03/02/2022,2,253,22,0,0,1000005029,
51074,06/09/2022,11/09/2022,1,231,77,1,1,1000005030,
51075,26/04/2022,06/05/2022,2,276,263,0,0,1000005031,
51076,11/09/2022,14/09/2022,2,222,52,1,1,1000005032,
51077,21/02/2022,01/03/2022,1,260,31,1,1,1000005033,
51078,10/01/2022,11/01/2022,4,227,268,0,0,1000005034,
51079,26/02/2022,06/03/2022,2,253,19,0,0,1000005035,
51080,16/02/2022,02/03/2022,4,219,151,0,0,1000005036,
51081,03/08/2022,11/08/2022,4,257,171,1,1,1000005037,
51082,12/03/2022,17/03/2022,4,241,229,0,0,1000005038,
51083,14/12/2022,17/12/2022,2,209,25,0,0,1000005039,
51084,04/12/2022,19/12/2022,3,247,83,1,1,1000005040,
51085,01/12/2022,03/12/2022,3,278,248,0,0,1000005041,
51086,23/07/2022,30/07/2022,4,236,268,1,1,1000005042,
51087,24/08/2022,29/08/2022,1,233,234,1,1,1000005043,
51088,14/09/2022,23/09/2022,2,254,74,1,1,1000005044,
51089,20/07/2022,31/07/2022,3,252,55,1,1,1000005045,
51090,17/09/2022,29/09/2022,3,289,217,1,1,1000005046,
51091,18/09/2022,30/09/2022,2,262,71,0,0,1000005047,
51092,26/03/2022,05/04/2022,4,248,64,0,0,1000005048,
51093,10/12/2022,17/12/2022,2,271,215,0,0,1000005049,
51094,15/08/2022,28/08/2022,2,262,274,1,1,1000005050,
51095,19/01/2022,03/02/2022,3,204,268,0,0,1000005051,
51096,11/11/2022,18/11/2022,2,283,214,1,1,1000005052,
51097,01/03/2022,04/03/2022,2,274,85,0,0,1000005053,
51098,06/04/2022,10/04/2022,1,295,103,0,0,1000005054,
51099,12/07/2022,26/07/2022,3,267,80,1,1,1000005055,
51100,23/10/2022,29/10/2022,3,261,289,0,0,1000005056,
51101,12/09/2022,26/09/2022,2,261,85,0,0,1000005057,
51102,25/01/2022,08/02/2022,1,201,67,1,1,1000005058,
51103,20/06/2022,23/06/2022,4,288,283,1,1,1000005059,
51104,07/03/2022,08/03/2022,4,219,241,0,0,1000005060,
51105,26/05/2022,08/06/2022,1,293,177,0,0,1000005061,
51106,06/11/2022,09/11/2022,3,216,119,0,0,1000005062,
51107,24/07/2022,05/08/2022,4,225,81,1,1,1000005063,
51108,03/04/2022,09/04/2022,2,278,223,1,1,1000005064,
51109,05/03/2022,08/03/2022,2,262,123,0,0,1000005065,
51110,12/09/2022,20/09/2022,2,272,80,1,1,1000005066,
51111,23/06/2022,30/06/2022,4,286,183,1,1,1000005067,
51112,23/02/2022,01/03/2022,2,257,53,0,0,1000005068,
51113,01/01/2022,14/01/2022,2,269,115,0,0,1000005069,
51114,13/12/2022,21/12/2022,2,244,161,1,1,1000005070,
51115,14/11/2022,28/11/2022,3,288,290,1,1,1000005071,
51116,28/01/2022,07/02/2022,1,220,61,0,0,1000005072,
51117,24/02/2022,05/03/2022,4,234,208,0,0,1000005073,
51118,16/05/2022,21/05/2022,1,274,95,0,0,1000005074,
51119,14/06/2022,16/06/2022,3,209,19,1,1,1000005075,
51120,04/10/2022,06/10/2022,3,210,144,0,0,1000005076,
51121,10/05/2022,22/05/2022,2,258,270,0,0,1000005077,
51122,04/01/2022,06/01/2022,1,210,14,0,0,1000005078,
51123,14/03/2022,18/03/2022,3,285,2,1,1,1000005079,
51124,24/12/2022,03/01/2023,2,213,219,1,1,1000005080,
51125,27/08/2022,06/09/2022,2,213,10,0,0,1000005081,
51126,16/11/2022,18/11/2022,2,220,275,1,1,1000005082,
51127,24/12/2022,04/01/2023,3,267,149,0,0,1000005083,
51128,12/08/2022,18/08/2022,2,277,79,1,1,1000005084,
51129,06/10/2022,08/10/2022,2,225,62,1,1,1000005085,
51130,28/03/2022,04/04/2022,2,226,124,0,0,1000005086,
51131,04/04/2022,19/04/2022,3,300,263,1,1,1000005087,
51132,12/05/2022,24/05/2022,4,228,62,0,0,1000005088,
51133,25/03/2022,05/04/2022,4,213,179,1,1,1000005089,
51134,11/02/2022,15/02/2022,2,221,279,1,1,1000005090,
51135,28/01/2022,08/02/2022,4,264,149,0,0,1000005091,
51136,26/03/2022,02/04/2022,4,292,245,1,1,1000005092,
51137,25/04/2022,27/04/2022,2,285,191,0,0,1000005093,
51138,03/05/2022,09/05/2022,2,265,294,1,1,1000005094,
51139,24/07/2022,07/08/2022,1,203,120,0,0,1000005095,
51140,19/09/2022,27/09/2022,4,216,72,1,1,1000005096,
51141,11/09/2022,12/09/2022,2,274,37,0,0,1000005097,
51142,21/04/2022,26/04/2022,4,220,9,1,1,1000005098,
51143,08/05/2022,20/05/2022,1,247,217,0,0,1000005099,
51144,21/10/2022,03/11/2022,2,211,165,0,0,1000005100,
51145,11/11/2022,18/11/2022,4,276,14,1,1,1000005101,
51146,20/09/2022,28/09/2022,2,273,240,1,1,1000005102,
51147,13/08/2022,23/08/2022,3,269,224,0,0,1000005103,
51148,23/03/2022,24/03/2022,4,255,191,1,1,1000005104,
51149,21/10/2022,01/11/2022,4,211,111,0,0,1000005105,
51150,14/08/2022,21/08/2022,1,271,253,0,0,1000005106,
51151,11/06/2022,24/06/2022,4,267,209,1,1,1000005107,
51152,11/05/2022,16/05/2022,2,291,188,1,1,1000005108,
51153,14/03/2022,17/03/2022,2,277,148,0,0,1000005109,
51154,30/04/2022,11/05/2022,3,222,226,1,1,1000005110,
51155,06/05/2022,21/05/2022,2,265,284,1,1,1000005111,
51156,28/07/2022,06/08/2022,1,275,298,0,0,1000005112,
51157,22/04/2022,25/04/2022,2,202,194,1,1,1000005113,
51158,05/10/2022,08/10/2022,3,267,63,1,1,1000005114,
51159,07/01/2022,11/01/2022,4,291,114,1,1,1000005115,
51160,22/03/2022,26/03/2022,1,244,126,1,1,1000005116,
51161,27/04/2022,06/05/2022,4,276,117,0,0,1000005117,
51162,17/01/2022,29/01/2022,2,255,34,0,0,1000005118,
51163,23/12/2022,02/01/2023,1,212,161,0,0,1000005119,
51164,20/01/2022,04/02/2022,4,266,44,0,0,1000005120,
51165,22/06/2022,29/06/2022,2,273,28,1,1,1000005121,
51166,19/12/2022,28/12/2022,2,288,232,1,1,1000005122,
51167,01/02/2022,07/02/2022,4,255,188,1,1,1000005123,
51168,17/10/2022,23/10/2022,3,263,209,0,0,1000005124,
51169,16/10/2022,23/10/2022,2,268,130,1,1,1000005125,
51170,11/05/2022,19/05/2022,2,300,7,0,0,1000005126,
51171,21/11/2022,06/12/2022,4,288,218,0,0,1000005127,
51172,29/11/2022,03/12/2022,2,214,260,0,0,1000005128,
51173,10/01/2022,21/01/2022,2,217,159,1,1,1000005129,
51174,30/09/2022,04/10/2022,2,213,115,1,1,1000005130,
51175,01/11/2022,14/11/2022,3,255,246,1,1,1000005131,
51176,28/11/2022,03/12/2022,1,220,3,0,0,1000005132,
51177,22/08/2022,30/08/2022,1,227,119,1,1,1000005133,
51178,14/04/2022,27/04/2022,2,271,90,0,0,1000005134,
51179,18/10/2022,20/10/2022,1,285,144,1,1,1000005135,
51180,09/04/2022,15/04/2022,2,206,84,0,0,1000005136,
51181,18/05/2022,26/05/2022,4,229,32,1,1,1000005137,
51182,22/01/2022,31/01/2022,1,272,167,0,0,1000005138,
51183,25/09/2022,03/10/2022,2,218,3,0,0,1000005139,
51184,15/08/2022,28/08/2022,3,247,214,0,0,1000005140,
51185,23/08/2022,27/08/2022,4,274,194,0,0,1000005141,
51186,12/06/2022,20/06/2022,1,225,90,1,1,1000005142,
51187,27/06/2022,12/07/2022,1,259,63,0,0,1000005143,
51188,16/09/2022,29/09/2022,3,239,165,0,0,1000005144,
51189,21/03/2022,28/03/2022,2,297,81,0,0,1000005145,
51190,09/08/2022,17/08/2022,4,224,58,0,0,1000005146,
51191,29/10/2022,06/11/2022,2,241,153,1,1,1000005147,
51192,09/04/2022,12/04/2022,4,242,194,1,1,1000005148,
51193,01/04/2022,07/04/2022,1,217,278,0,0,1000005149,
51194,27/12/2022,09/01/2023,3,203,40,1,1,1000005150,
51195,06/06/2022,07/06/2022,3,272,199,1,1,1000005151,
51196,20/07/2022,25/07/2022,4,292,111,1,1,1000005152,
51197,03/04/2022,04/04/2022,4,236,300,0,0,1000005153,
51198,19/03/2022,20/03/2022,3,278,101,1,1,1000005154,
51199,22/03/2022,02/04/2022,3,217,123,1,1,1000005155,
51200,20/07/2022,03/08/2022,4,295,274,0,0,1000005156,
51201,02/04/2022,08/04/2022,1,273,252,0,0,1000005157,
51202,06/11/2022,13/11/2022,3,213,25,0,0,1000005158,
51203,10/11/2022,25/11/2022,3,253,69,1,1,1000005159,
51204,02/04/2022,10/04/2022,1,294,84,0,0,1000005160,
51205,16/06/2022,17/06/2022,2,266,254,1,1,1000005161,
51206,02/10/2022,08/10/2022,2,201,195,0,0,1000005162,
51207,05/04/2022,20/04/2022,1,278,231,1,1,1000005163,
51208,29/08/2022,07/09/2022,1,286,203,0,0,1000005164,
51209,23/08/2022,27/08/2022,1,205,220,1,1,1000005165,
51210,30/05/2022,01/06/2022,1,298,116,1,1,1000005166,
51211,12/12/2022,14/12/2022,4,223,296,0,0,1000005167,
51212,22/11/2022,07/12/2022,1,219,186,1,1,1000005168,
51213,31/08/2022,14/09/2022,4,249,294,1,1,1000005169,
51214,21/12/2022,26/12/2022,1,275,99,0,0,1000005170,
51215,11/01/2022,17/01/2022,4,281,81,1,1,1000005171,
51216,18/11/2022,01/12/2022,2,257,180,1,1,1000005172,
51217,06/03/2022,18/03/2022,4,286,9,0,0,1000005173,
51218,03/03/2022,12/03/2022,2,250,202,0,0,1000005174,
51219,15/09/2022,22/09/2022,1,235,190,1,1,1000005175,
51220,16/02/2022,23/02/2022,4,260,290,0,0,1000005176,
51221,21/05/2022,24/05/2022,2,228,218,1,1,1000005177,
51222,15/01/2022,29/01/2022,2,228,44,1,1,1000005178,
51223,20/05/2022,24/05/2022,2,281,243,1,1,1000005179,
51224,20/08/2022,23/08/2022,4,228,232,0,0,1000005180,
51225,15/03/2022,21/03/2022,4,291,283,0,0,1000005181,
51226,14/06/2022,25/06/2022,4,250,215,1,1,1000005182,
51227,09/11/2022,10/11/2022,3,233,90,1,1,1000005183,
