IDESTADIA,FECHALLEGADA,FECHASALIDA,NUMEROPERSONAS,IDPLAN,IDHABITACION,PAGADO,CHECKIN,IDCLIENTE,IDCONVENCION
46,16/09/2024,19/09/2024,3,10,52,1,1,1000001000,10
47,02/08/2024,10/08/2024,4,11,182,0,0,"",11
48,13/10/2024,17/10/2024,1,12,120,1,1,1000001002,12
49,17/06/2024,06/07/2024,2,13,288,1,1,1000001003,13
50,04/12/2024,23/12/2024,4,14,26,0,0,"",14
51,09/08/2024,12/08/2024,1,15,190,1,1,1000001005,15
52,25/01/2024,01/02/2024,2,16,250,0,0,"",16
53,27/06/2024,11/07/2024,1,17,95,0,0,"",17
54,13/06/2024,27/06/2024,1,18,145,0,0,"",18
55,30/10/2024,07/11/2024,2,19,49,1,1,1000001009,19
56,30/09/2024,12/10/2024,4,20,271,1,1,1000001010,20
57,01/02/2024,10/02/2024,2,21,77,0,0,"",21
58,14/02/2024,26/02/2024,4,22,181,1,1,1000001012,22
59,12/06/2024,22/06/2024,3,23,180,0,0,"",23
60,27/07/2024,06/08/2024,1,24,72,0,0,"",24
61,27/03/2024,06/04/2024,4,25,159,0,0,"",25
62,11/02/2024,27/02/2024,4,26,72,0,0,"",26
63,08/12/2024,18/12/2024,2,27,142,0,0,"",27
64,08/08/2024,27/08/2024,2,28,72,0,0,"",28
65,21/08/2024,03/09/2024,3,29,67,1,1,1000001019,29
66,16/12/2024,05/01/2025,4,30,60,0,0,"",30
67,05/06/2024,22/06/2024,1,31,88,0,0,"",31
68,13/11/2024,02/12/2024,1,32,123,1,1,1000001022,32
69,06/05/2024,25/05/2024,3,33,60,1,1,1000001023,33
70,04/06/2024,23/06/2024,1,34,109,0,0,"",34
71,21/08/2024,03/09/2024,4,35,154,0,0,"",35
72,06/07/2024,18/07/2024,3,36,165,0,0,"",36
73,09/06/2024,23/06/2024,2,37,198,0,0,"",37
74,26/10/2024,07/11/2024,4,38,261,1,1,1000001028,38
75,19/01/2024,06/02/2024,3,39,292,1,1,1000001029,39
76,11/10/2024,17/10/2024,2,40,171,1,1,1000001030,40
77,03/10/2024,07/10/2024,4,41,92,0,0,"",41
78,11/01/2024,22/01/2024,4,42,280,1,1,1000001032,42
79,19/07/2024,04/08/2024,3,43,271,1,1,1000001033,43
80,14/08/2024,21/08/2024,1,44,100,1,1,1000001034,44
81,21/04/2024,11/05/2024,2,45,241,0,0,"",45
82,18/07/2024,25/07/2024,2,46,27,1,1,1000001036,46
83,14/07/2024,03/08/2024,1,47,227,1,1,1000001037,47
84,05/05/2024,13/05/2024,4,48,103,0,0,"",48
85,02/11/2024,07/11/2024,2,49,16,0,0,"",49
86,15/12/2024,19/12/2024,2,50,146,0,0,"",50
87,10/01/2024,19/01/2024,3,51,45,0,0,"",51
88,14/12/2024,03/01/2025,2,52,40,1,1,1000001042,52
89,12/02/2024,03/03/2024,1,53,80,1,1,1000001043,53
90,16/07/2024,28/07/2024,4,54,148,1,1,1000001044,54
91,10/01/2024,15/01/2024,4,55,106,0,0,"",55
92,17/08/2024,29/08/2024,3,56,136,1,1,1000001046,56
93,28/10/2024,07/11/2024,3,57,285,1,1,1000001047,57
94,14/09/2024,22/09/2024,3,58,274,0,0,"",58
95,17/03/2024,06/04/2024,4,59,246,0,0,"",59
96,09/08/2024,23/08/2024,3,60,30,1,1,1000001050,60
97,12/03/2024,28/03/2024,4,61,28,1,1,1000001051,61
98,06/11/2024,10/11/2024,1,62,35,0,0,"",62
99,12/10/2024,27/10/2024,2,63,43,1,1,1000001053,63
100,03/02/2024,07/02/2024,4,64,230,1,1,1000001054,64
101,19/03/2024,24/03/2024,2,65,131,1,1,1000001055,65
102,18/08/2024,26/08/2024,3,66,119,1,1,1000001056,66
103,08/03/2024,24/03/2024,3,67,7,0,0,"",67
104,12/07/2024,21/07/2024,2,68,20,1,1,1000001058,68
105,19/08/2024,22/08/2024,2,69,214,0,0,"",69
106,02/11/2024,21/11/2024,2,70,11,0,0,"",70
107,19/07/2024,29/07/2024,3,71,70,0,0,"",71
108,29/04/2024,04/05/2024,1,72,257,1,1,1000001062,72
