IDESTADIA,FECHALLEGADA,FECHASALIDA,NUMEROPERSONAS,IDPLAN,IDHABITACION,PAGADO,CHECKIN,IDCLIENTE,IDCONVENCION
849,16/09/2024,19/09/2024,1,10,187,1,1,1000001797,10
850,02/08/2024,10/08/2024,3,11,159,0,0,"",11
851,13/10/2024,17/10/2024,3,12,63,1,1,1000001799,12
852,17/06/2024,06/07/2024,2,13,157,1,1,1000001800,13
853,04/12/2024,23/12/2024,3,14,293,0,0,"",14
854,09/08/2024,12/08/2024,2,15,101,1,1,1000001802,15
855,25/01/2024,01/02/2024,2,16,43,0,0,"",16
856,27/06/2024,11/07/2024,3,17,266,0,0,"",17
857,13/06/2024,27/06/2024,4,18,94,0,0,"",18
858,30/10/2024,07/11/2024,2,19,48,1,1,1000001806,19
859,30/09/2024,12/10/2024,1,20,289,1,1,1000001807,20
860,01/02/2024,10/02/2024,4,21,6,0,0,"",21
861,14/02/2024,26/02/2024,2,22,23,1,1,1000001809,22
862,12/06/2024,22/06/2024,1,23,102,0,0,"",23
863,27/07/2024,06/08/2024,1,24,191,0,0,"",24
864,27/03/2024,06/04/2024,4,25,57,0,0,"",25
865,11/02/2024,27/02/2024,2,26,138,0,0,"",26
866,08/12/2024,18/12/2024,4,27,292,0,0,"",27
867,08/08/2024,27/08/2024,2,28,196,0,0,"",28
868,21/08/2024,03/09/2024,4,29,253,1,1,1000001816,29
869,16/12/2024,05/01/2025,1,30,198,0,0,"",30
870,05/06/2024,22/06/2024,4,31,208,0,0,"",31
871,13/11/2024,02/12/2024,2,32,298,1,1,1000001819,32
872,06/05/2024,25/05/2024,2,33,50,1,1,1000001820,33
873,04/06/2024,23/06/2024,1,34,160,0,0,"",34
874,21/08/2024,03/09/2024,3,35,125,0,0,"",35
875,06/07/2024,18/07/2024,1,36,166,0,0,"",36
876,09/06/2024,23/06/2024,1,37,37,0,0,"",37
877,26/10/2024,07/11/2024,3,38,270,1,1,1000001825,38
878,19/01/2024,06/02/2024,3,39,136,1,1,1000001826,39
879,11/10/2024,17/10/2024,3,40,174,1,1,1000001827,40
880,03/10/2024,07/10/2024,2,41,172,0,0,"",41
881,11/01/2024,22/01/2024,2,42,148,1,1,1000001829,42
882,19/07/2024,04/08/2024,3,43,139,1,1,1000001830,43
883,14/08/2024,21/08/2024,1,44,63,1,1,1000001831,44
884,21/04/2024,11/05/2024,1,45,92,0,0,"",45
885,18/07/2024,25/07/2024,2,46,233,1,1,1000001833,46
886,14/07/2024,03/08/2024,3,47,34,1,1,1000001834,47
887,05/05/2024,13/05/2024,3,48,254,0,0,"",48
888,02/11/2024,07/11/2024,2,49,68,0,0,"",49
889,15/12/2024,19/12/2024,2,50,38,0,0,"",50
890,10/01/2024,19/01/2024,2,51,289,0,0,"",51
891,14/12/2024,03/01/2025,3,52,60,1,1,1000001839,52
892,12/02/2024,03/03/2024,3,53,222,1,1,1000001840,53
893,16/07/2024,28/07/2024,2,54,11,1,1,1000001841,54
894,10/01/2024,15/01/2024,2,55,223,0,0,"",55
895,17/08/2024,29/08/2024,4,56,170,1,1,1000001843,56
896,28/10/2024,07/11/2024,4,57,152,1,1,1000001844,57
897,14/09/2024,22/09/2024,2,58,175,0,0,"",58
898,17/03/2024,06/04/2024,1,59,121,0,0,"",59
899,09/08/2024,23/08/2024,2,60,156,1,1,1000001847,60
900,12/03/2024,28/03/2024,2,61,71,1,1,1000001848,61
901,06/11/2024,10/11/2024,2,62,165,0,0,"",62
902,12/10/2024,27/10/2024,2,63,46,1,1,1000001850,63
903,03/02/2024,07/02/2024,3,64,41,1,1,1000001851,64
904,19/03/2024,24/03/2024,1,65,123,1,1,1000001852,65
905,18/08/2024,26/08/2024,2,66,161,1,1,1000001853,66
906,08/03/2024,24/03/2024,3,67,279,0,0,"",67
907,12/07/2024,21/07/2024,2,68,60,1,1,1000001855,68
908,19/08/2024,22/08/2024,4,69,103,0,0,"",69
909,02/11/2024,21/11/2024,4,70,50,0,0,"",70
910,19/07/2024,29/07/2024,2,71,207,0,0,"",71
911,29/04/2024,04/05/2024,2,72,208,1,1,1000001859,72
912,19/04/2024,04/05/2024,3,73,91,0,0,"",73
913,17/09/2024,05/10/2024,3,74,96,0,0,"",74
914,25/06/2024,08/07/2024,3,75,226,0,0,"",75
915,20/02/2024,07/03/2024,4,76,185,0,0,"",76
916,08/12/2024,12/12/2024,3,77,77,0,0,"",77
917,04/09/2024,22/09/2024,2,78,105,1,1,1000001865,78
918,23/12/2024,06/01/2025,1,79,235,1,1,1000001866,79
919,13/05/2024,19/05/2024,4,80,40,1,1,1000001867,80
920,18/12/2024,26/12/2024,1,81,201,0,0,"",81
921,12/01/2024,15/01/2024,1,82,21,1,1,1000001869,82
922,06/05/2024,12/05/2024,4,83,217,0,0,"",83
923,30/01/2024,18/02/2024,3,84,108,1,1,1000001871,84
924,13/12/2024,17/12/2024,3,85,16,1,1,1000001872,85
925,19/08/2024,01/09/2024,2,86,40,0,0,"",86
926,03/06/2024,15/06/2024,4,87,105,0,0,"",87
927,20/11/2024,04/12/2024,4,88,211,0,0,"",88
928,04/10/2024,14/10/2024,1,89,189,0,0,"",89
929,12/12/2024,01/01/2025,3,90,174,0,0,"",90
930,30/09/2024,14/10/2024,3,91,193,1,1,1000001878,91
931,19/02/2024,07/03/2024,2,92,202,0,0,"",92
932,06/05/2024,15/05/2024,3,93,260,0,0,"",93
933,25/07/2024,30/07/2024,2,94,33,1,1,1000001881,94
934,17/10/2024,26/10/2024,3,95,165,0,0,"",95
935,18/01/2024,01/02/2024,3,96,160,1,1,1000001883,96
936,20/02/2024,07/03/2024,4,97,7,1,1,1000001884,97
937,04/05/2024,08/05/2024,4,98,191,0,0,"",98
938,25/02/2024,12/03/2024,4,99,141,1,1,1000001886,99
939,04/02/2024,22/02/2024,3,100,135,0,0,"",100
940,16/02/2024,22/02/2024,3,101,89,0,0,"",101
941,09/10/2024,14/10/2024,1,102,119,0,0,"",102
942,24/06/2024,28/06/2024,1,103,100,1,1,1000001890,103
943,11/09/2024,30/09/2024,2,104,268,0,0,"",104
944,23/03/2024,09/04/2024,2,105,207,1,1,1000001892,105
945,04/02/2024,24/02/2024,3,106,118,1,1,1000001893,106
946,03/12/2024,06/12/2024,2,107,23,0,0,"",107
947,21/03/2024,30/03/2024,2,108,194,1,1,1000001895,108
948,09/12/2024,24/12/2024,2,109,86,1,1,1000001896,109
949,28/02/2024,17/03/2024,4,110,50,1,1,1000001897,110
950,21/08/2024,27/08/2024,2,111,168,0,0,"",111
951,04/05/2024,08/05/2024,3,112,120,0,0,"",112
952,29/09/2024,05/10/2024,4,113,38,0,0,"",113
953,16/06/2024,30/06/2024,2,114,269,0,0,"",114
954,03/02/2024,22/02/2024,2,115,138,0,0,"",115
955,10/04/2024,30/04/2024,1,116,187,1,1,1000001903,116
956,07/04/2024,13/04/2024,3,117,264,0,0,"",117
957,12/11/2024,28/11/2024,1,118,2,1,1,1000001905,118
958,05/05/2024,18/05/2024,3,119,155,0,0,"",119
959,24/05/2024,10/06/2024,1,120,183,0,0,"",120
960,05/07/2024,09/07/2024,1,121,14,1,1,1000001908,121
961,09/09/2024,22/09/2024,4,122,250,1,1,1000001909,122
962,09/01/2024,13/01/2024,1,123,121,1,1,1000001910,123
963,24/08/2024,27/08/2024,3,124,88,1,1,1000001911,124
964,13/01/2024,22/01/2024,3,125,206,0,0,"",125
965,03/04/2024,08/04/2024,2,126,25,0,0,"",126
966,21/06/2024,01/07/2024,1,127,111,0,0,"",127
967,25/11/2024,06/12/2024,1,128,221,0,0,"",128
968,25/03/2024,14/04/2024,2,129,142,1,1,1000001916,129
969,01/08/2024,18/08/2024,4,130,201,0,0,"",130
970,01/03/2024,12/03/2024,2,131,250,0,0,"",131
971,14/04/2024,18/04/2024,1,132,126,1,1,1000001919,132
972,02/03/2024,08/03/2024,4,133,292,1,1,1000001920,133
973,17/12/2024,24/12/2024,1,134,96,0,0,"",134
974,30/09/2024,14/10/2024,4,135,204,0,0,"",135
975,07/09/2024,18/09/2024,2,136,185,1,1,1000001923,136
976,28/01/2024,16/02/2024,4,137,252,1,1,1000001924,137
977,19/11/2024,05/12/2024,2,138,107,0,0,"",138
978,16/08/2024,19/08/2024,2,139,157,1,1,1000001926,139
979,13/05/2024,02/06/2024,3,140,264,0,0,"",140
980,10/02/2024,13/02/2024,3,141,174,0,0,"",141
981,03/08/2024,11/08/2024,4,142,239,1,1,1000001929,142
982,25/09/2024,15/10/2024,1,143,66,0,0,"",143
983,24/10/2024,07/11/2024,2,144,254,0,0,"",144
984,01/07/2024,16/07/2024,4,145,19,1,1,1000001932,145
985,29/06/2024,06/07/2024,2,146,100,0,0,"",146
986,30/08/2024,18/09/2024,3,147,200,1,1,1000001934,147
987,17/05/2024,26/05/2024,4,148,234,0,0,"",148
988,22/04/2024,11/05/2024,2,149,227,0,0,"",149
989,16/05/2024,04/06/2024,4,150,153,1,1,1000001937,150
990,02/10/2024,21/10/2024,3,151,226,1,1,1000001938,151
991,06/02/2024,18/02/2024,4,152,263,1,1,1000001939,152
992,30/10/2024,08/11/2024,1,153,113,1,1,1000001940,153
993,04/04/2024,07/04/2024,3,154,217,0,0,"",154
994,17/09/2024,21/09/2024,2,155,181,1,1,1000001942,155
995,27/06/2024,30/06/2024,3,156,23,0,0,"",156
996,25/06/2024,28/06/2024,2,157,175,1,1,1000001944,157
997,30/07/2024,09/08/2024,2,158,157,0,0,"",158
998,18/08/2024,30/08/2024,1,159,282,0,0,"",159
999,02/11/2024,11/11/2024,2,160,183,1,1,1000001947,160
1000,27/01/2024,11/02/2024,2,161,166,1,1,1000001948,161
1001,11/06/2024,30/06/2024,2,162,290,1,1,1000001949,162
1002,09/11/2024,23/11/2024,1,163,210,0,0,"",163
1003,27/02/2024,09/03/2024,1,164,60,1,1,1000001951,164
1004,23/05/2024,28/05/2024,3,165,179,0,0,"",165
1005,19/12/2024,27/12/2024,2,166,54,0,0,"",166
1006,26/09/2024,30/09/2024,1,167,179,0,0,"",167
1007,25/08/2024,11/09/2024,2,168,127,1,1,1000001955,168
1008,27/04/2024,11/05/2024,1,169,224,1,1,1000001956,169
1009,04/04/2024,08/04/2024,3,170,228,0,0,"",170
1010,24/04/2024,03/05/2024,1,171,269,1,1,1000001958,171
1011,03/02/2024,10/02/2024,4,172,282,1,1,1000001959,172
1012,03/04/2024,15/04/2024,2,173,4,0,0,"",173
1013,05/06/2024,25/06/2024,1,174,191,1,1,1000001961,174
1014,21/04/2024,09/05/2024,3,175,148,0,0,"",175
1015,25/01/2024,04/02/2024,3,176,203,0,0,"",176
1016,28/06/2024,02/07/2024,3,177,235,0,0,"",177
1017,09/02/2024,22/02/2024,1,178,237,1,1,1000001965,178
1018,10/09/2024,28/09/2024,2,179,59,1,1,1000001966,179
1019,21/08/2024,30/08/2024,2,180,165,1,1,1000001967,180
1020,15/10/2024,20/10/2024,3,181,43,1,1,1000001968,181
1021,20/08/2024,03/09/2024,1,182,149,1,1,1000001969,182
1022,28/08/2024,13/09/2024,4,183,239,0,0,"",183
1023,10/07/2024,23/07/2024,1,184,279,1,1,1000001971,184
1024,28/09/2024,02/10/2024,3,185,48,0,0,"",185
1025,17/11/2024,28/11/2024,4,186,177,1,1,1000001973,186
1026,18/07/2024,28/07/2024,3,187,276,0,0,"",187
1027,28/06/2024,11/07/2024,2,188,222,1,1,1000001975,188
1028,09/01/2024,17/01/2024,1,189,73,1,1,1000001976,189
1029,20/02/2024,03/03/2024,4,190,77,0,0,"",190
1030,16/05/2024,22/05/2024,1,191,7,1,1,1000001978,191
1031,31/10/2024,13/11/2024,4,192,178,0,0,"",192
1032,12/10/2024,29/10/2024,4,193,89,1,1,1000001980,193
1033,09/06/2024,28/06/2024,4,194,43,1,1,1000001981,194
1034,09/08/2024,14/08/2024,3,195,165,0,0,"",195
1035,01/02/2024,14/02/2024,1,196,110,1,1,1000001983,196
1036,19/09/2024,28/09/2024,2,197,221,1,1,1000001984,197
1037,16/03/2024,02/04/2024,1,198,233,1,1,1000001985,198
1038,04/01/2024,10/01/2024,2,199,191,1,1,1000001986,199
1039,12/08/2024,29/08/2024,1,200,158,1,1,1000001987,200
1040,18/07/2024,26/07/2024,4,201,106,1,1,1000001988,201
1041,25/11/2024,30/11/2024,4,202,213,1,1,1000001989,202
1042,25/10/2024,05/11/2024,4,203,186,1,1,1000001990,203
1043,09/12/2024,27/12/2024,4,204,242,1,1,1000001991,204
1044,02/08/2024,21/08/2024,1,205,286,0,0,"",205
1045,04/07/2024,18/07/2024,3,206,154,0,0,"",206
1046,23/07/2024,07/08/2024,2,207,155,0,0,"",207
1047,16/06/2024,30/06/2024,1,208,144,0,0,"",208
1048,15/02/2024,20/02/2024,4,209,140,1,1,1000001996,209
