IDHORARIO,DURACION,IDSERVICIO,FECHAINICIO,DIA,HORAINICIO,HORAFIN,FECHAFIN
92630,,11,06/08/2017,,1,16,06/08/2017
92631,,14,23/02/2017,,5,11,24/02/2017
92632,,18,28/04/2017,,23,12,29/04/2017
92633,,13,22/10/2017,,11,24,23/10/2017
92634,,18,21/12/2017,,7,13,21/12/2017
92635,,22,28/05/2017,,16,6,29/05/2017
92636,,13,16/12/2017,,19,19,17/12/2017
92637,,14,11/05/2017,,0,11,11/05/2017
92638,,13,13/02/2017,,21,22,14/02/2017
92639,,5,19/08/2017,,3,18,20/08/2017
92640,,5,25/03/2017,,10,24,25/03/2017
92641,,8,23/01/2017,,22,23,24/01/2017
92642,,11,10/05/2017,,2,24,10/05/2017
92643,,8,18/07/2017,,23,18,19/07/2017
92644,,22,02/05/2017,,21,21,03/05/2017
92645,,4,18/12/2017,,10,16,19/12/2017
92646,,22,03/03/2017,,16,22,03/03/2017
92647,,11,20/02/2017,,1,19,20/02/2017
92648,,17,16/08/2017,,2,23,16/08/2017
92649,,14,30/11/2017,,7,13,01/12/2017
92650,,12,17/04/2017,,13,24,17/04/2017
92651,,15,03/02/2017,,19,23,04/02/2017
92652,,17,07/07/2017,,13,22,08/07/2017
92653,,12,06/07/2017,,17,21,06/07/2017
92654,,13,05/10/2017,,18,14,06/10/2017
92655,,18,08/08/2017,,20,21,08/08/2017
92656,,12,01/12/2017,,11,17,01/12/2017
92657,,4,19/05/2017,,18,23,20/05/2017
92658,,13,14/07/2017,,19,15,15/07/2017
92659,,8,07/09/2017,,20,23,08/09/2017
92660,,15,03/04/2017,,20,4,03/04/2017
92661,,4,29/12/2017,,0,24,29/12/2017
92662,,11,29/10/2017,,1,21,29/10/2017
92663,,18,03/07/2017,,7,17,03/07/2017
92664,,8,22/01/2017,,7,23,23/01/2017
92665,,8,22/04/2017,,0,24,22/04/2017
92666,,5,06/06/2017,,22,10,07/06/2017
92667,,8,02/07/2017,,8,20,03/07/2017
92668,,22,12/03/2017,,2,16,12/03/2017
92669,,4,24/02/2017,,0,23,24/02/2017
92670,,20,05/04/2017,,8,18,06/04/2017
92671,,18,10/04/2017,,1,22,10/04/2017
92672,,4,29/08/2017,,22,19,29/08/2017
92673,,22,03/08/2017,,1,21,03/08/2017
92674,,13,24/08/2017,,15,24,24/08/2017
92675,,8,10/07/2017,,22,14,10/07/2017
92676,,11,23/09/2017,,16,16,23/09/2017
