IDPLAN,TIPO,COSTO,DESCUENTOALOJAMIENTO,FECHAVENCIMIENTO
201,Mat Lam Tam,43334,35,07/10/2025
202,Viva,64358,7,11/10/2025
203,Zathin,74714,80,15/04/2025
204,Holdlamis,2332,5,03/11/2025
205,Sub-Ex,62222,96,17/02/2025
206,Zaam-Dox,22728,94,01/05/2025
207,Cardify,31187,34,15/08/2025
208,It,3073,13,29/12/2025
209,Zathin,51238,47,24/11/2025
210,Wrapsafe,85822,9,26/02/2025
211,Home Ing,12750,78,09/08/2025
212,Zontrax,35335,87,02/02/2025
213,Rank,70887,11,12/08/2025
214,Transcof,76778,31,12/11/2025
215,Voltsillam,19620,44,14/12/2025
216,Lotlux,52095,95,21/08/2025
217,Latlux,53412,10,08/06/2025
218,Biodex,28261,38,21/04/2025
219,Ronstring,36960,61,17/02/2025
220,Mat Lam Tam,80134,86,24/02/2025
221,Ronstring,13676,68,03/11/2025
222,Opela,71139,29,15/01/2025
223,Regrant,37832,97,12/01/2025
224,Vagram,17270,28,23/09/2025
225,Keylex,50561,30,15/08/2025
226,Subin,26646,84,23/02/2025
227,Cookley,78090,17,22/06/2025
228,Pannier,47927,100,09/10/2025
229,Flowdesk,33174,62,22/05/2025
230,Duobam,2483,13,08/04/2025
231,Daltfresh,41928,37,25/04/2025
232,Lotlux,8957,66,26/05/2025
233,Bigtax,93890,99,04/08/2025
234,Overhold,76419,71,19/01/2025
235,Zathin,5803,14,17/12/2025
236,Solarbreeze,399,68,13/02/2025
237,Ronstring,36033,37,09/06/2025
238,Alphazap,25436,39,26/09/2025
239,Fix San,88248,70,18/02/2025
240,Stim,95737,10,09/03/2025
241,Sonair,37028,35,05/01/2025
242,Tampflex,68357,57,05/08/2025
243,Aerified,10085,34,28/10/2025
244,Flowdesk,67498,37,29/03/2025
245,Ronstring,53992,75,13/01/2025
246,Bigtax,98746,23,05/05/2025
247,Regrant,8834,74,02/01/2025
248,Zamit,63733,37,02/04/2025
249,Transcof,7917,19,13/11/2025
250,Y-Solowarm,28926,42,04/04/2025
251,Y-find,59311,59,09/09/2025
252,Cardguard,97918,41,20/06/2025
253,Konklux,51843,41,17/05/2025
254,Ronstring,34611,47,27/05/2025
255,Tampflex,30269,64,05/09/2025
256,Span,50124,34,10/04/2025
257,Fintone,75283,68,17/05/2025
258,Trippledex,61225,61,09/07/2025
259,Bytecard,79491,26,22/10/2025
260,Namfix,23417,53,25/02/2025
261,Job,60987,34,01/10/2025
262,Fintone,40296,49,02/01/2025
263,Bitchip,65588,38,14/10/2025
264,Zaam-Dox,78188,83,09/11/2025
265,Zathin,47523,86,07/11/2025
266,Prodder,13754,5,25/12/2025
267,Konklux,65971,64,11/04/2025
268,Job,8727,49,27/10/2025
269,Konklux,32700,89,02/09/2025
270,Opela,21239,86,07/08/2025
271,Bitchip,80517,72,03/09/2025
272,Home Ing,19635,59,19/10/2025
273,Home Ing,94599,93,06/06/2025
274,Biodex,57130,76,15/11/2025
275,Otcom,69346,100,15/01/2025
276,Andalax,33705,41,24/12/2025
277,Tampflex,49405,87,30/11/2025
278,Y-Solowarm,75266,47,24/08/2025
279,Zamit,16138,64,23/06/2025
280,Konklux,33139,20,29/01/2025
281,Duobam,22992,57,04/01/2025
282,Tempsoft,4966,9,13/03/2025
283,Bamity,38882,80,21/03/2025
284,Ronstring,48513,24,30/07/2025
285,Solarbreeze,56372,74,07/02/2025
286,Kanlam,89225,96,02/01/2025
287,Otcom,11970,30,11/02/2025
288,Daltfresh,17934,81,09/01/2025
289,Bitwolf,21465,40,08/11/2025
290,Zontrax,2078,74,08/06/2025
291,Job,89615,56,25/12/2025
292,Sonair,90300,97,22/04/2025
293,Home Ing,75268,88,24/01/2025
294,Viva,17830,76,08/10/2025
295,Fixflex,52832,85,08/05/2025
296,Fixflex,44610,76,16/12/2025
297,Home Ing,26046,4,23/04/2025
298,Zoolab,28739,99,04/06/2025
299,Quo Lux,51737,82,04/09/2025
300,Fintone,77614,62,11/01/2025
