NUMRESERVA,IDESTADIA,IDSERVICIO,IDHORARIO,IDCONSUMO,IDCONVENCION,CAPACIDAD
92600,91401,4,92630,,,3
92601,91402,5,92631,,,2
92602,91403,18,92632,,,2
92603,91404,12,92633,,,3
92604,91405,14,92634,,,1
92605,91406,4,92635,,,4
92606,91407,12,92636,,,4
92607,91408,12,92637,,,2
92608,91409,14,92638,15,,3
92609,91410,4,92639,16,,1
92610,91411,6,92640,,,2
92611,91412,14,92641,,,3
92612,91413,20,92642,,,4
92613,91414,6,92643,,,2
92614,91415,15,92644,,,3
92615,91416,13,92645,,,4
92616,91417,15,92646,,,3
92617,91418,12,92647,,,4
92618,91419,20,92648,,,1
92619,91420,8,92649,,,3
92620,91421,5,92650,,,4
92621,91422,12,92651,,,1
92622,91423,5,92652,,,1
92623,91424,4,92653,,,3
92624,91425,15,92654,,,4
92625,91426,4,92655,,,1
92626,91427,22,92656,,,2
92627,91428,15,92657,,,1
92628,91429,15,92658,,,1
92629,91430,20,92659,,,1
92630,91431,12,92660,,,2
92631,91432,22,92661,,,1
92632,91433,13,92662,,,2
92633,91434,20,92663,,,2
92634,91435,20,92664,,,3
92635,91436,8,92665,,,4
92636,91437,17,92666,,,2
92637,91438,15,92667,,,1
92638,91439,6,92668,,,2
92639,91440,8,92669,,,2
92640,91441,18,92670,,,1
92641,91442,12,92671,,,2
92642,91443,4,92672,,,4
92643,91444,18,92673,,,3
92644,91445,17,92674,,,4
92645,91446,6,92675,,,3
92646,91447,12,92676,,,2
92647,91448,18,92677,,,1
92648,91449,4,92678,16,,3
92649,91450,14,92679,,,4
92650,91451,11,92680,,,4
92651,91452,6,92681,,,3
92652,91453,15,92682,16,,4
92653,91454,20,92683,,,3
92654,91455,12,92684,,,1
92655,91456,22,92685,,,4
92656,91457,18,92686,,,1
92657,91458,17,92687,,,1
92658,91459,15,92688,,,4
92659,91460,6,92689,,,3
92660,91461,20,92690,,,4
92661,91462,4,92691,,,3
92662,91463,15,92692,16,,2
92663,91464,18,92693,,,3
